"id","code","name","sequence"
"irsid_edu.level_do","ДО","Дошкольное образование","1"
"irsid_edu.level_noo","НОО","Начальное общее образование","2"
"irsid_edu.level_ooo","ООО","Основное общее образование","3"
"irsid_edu.level_soo","СОО","Среднее общее образование","4"
"irsid_edu.level_spo","СПО","Среднее профессиональное образование","5"
"irsid_edu.level_vob","ВО-Б","Высшее образование - бакалавриат","6"
"irsid_edu.level_vosm","ВО-СМ","Высшее образование - специалитет, магистратура","7"
"irsid_edu.level_vopkvk","ВО-КВК","Высшее образование - подготовка кадров высшей квалификации","8"
