"id","code","name","sequence"
"irsid_edu.section_0","ВстИсп","Вступительные испытания",""
"irsid_edu.section_1","ГСЭЦикл","Гуманитарный, социальный и экономический цикл             ","1"
"irsid_edu.section_2","МЕНЦикл","Математический и естественнонаучный цикл","2"
"irsid_edu.section_3","ПрофЦикл","Профессиональный цикл","3"
"irsid_edu.section_4","ФизКульт","Физическая культура","4"
"irsid_edu.section_5","УчПрПракт","Учебная и производственная практики","5"
"irsid_edu.section_6","ИГАтт","Итоговая государственная аттестация","6"
